Avg Returns,Success Rate,env-final-hand_object_aligned,env-final-obj_goal_distance,env-final-object_above_goal,env-final-object_grasped,env-final-picked_up,env-final-task_achieved,env-hand_object_aligned,env-obj_goal_distance,env-object_above_goal,env-object_grasped,env-picked_up,env-task_achieved,test-BC Loss,test-epoch_duration,train-BC Loss,train-epoch_duration
-65.0,0.0,0.0,0.18854292882136042,0.0,0.0,0.0,0.0,0.0,0.1885536507889116,0.0,0.0,0.0,0.0,0.2424928516149521,1.1711158752441406,0.2391033673286438,43.682376861572266
-65.0,0.0,0.0,0.19617082446024203,0.0,0.0,0.0,0.0,0.0,0.19617347282359096,0.0,0.0,0.0,0.0,0.23663053661584854,1.1774818897247314,0.24135467991232873,43.539427042007446
-65.0,0.0,0.2,0.18512870926275346,0.0,0.2,0.0,0.0,0.18769230769230769,0.18512485041902987,0.0,0.18769230769230769,0.0,0.0,0.13224151507019996,1.1700921058654785,0.18295538797974586,43.918514251708984
-65.0,0.0,0.0,0.1940203728578905,0.0,0.0,0.0,0.0,0.14461538461538462,0.19394995961513828,0.0,0.14461538461538462,0.0,0.0,0.09481647089123726,1.1703553199768066,0.1089624835923314,43.72554302215576
-65.0,0.0,0.6,0.19158870413058268,0.0,0.6,0.6,0.0,0.6,0.19735968474656804,0.0,0.6,0.4123076923076923,0.0,0.08498146012425423,1.1756618022918701,0.08681105718016624,43.67918086051941
-65.0,0.0,0.0,0.18515716771545437,0.0,0.0,0.0,0.0,0.3323076923076923,0.18764330430662052,0.0,0.3323076923076923,0.003076923076923077,0.0,0.08613553196191788,1.1707587242126465,0.08028025913983583,43.65238094329834
-65.0,0.0,0.0,0.27525728599507493,0.0,0.0,0.0,0.0,0.4369230769230769,0.22555962006684932,0.0,0.4369230769230769,0.12,0.0,0.08267812728881836,1.1796748638153076,0.07645028188824654,43.71477198600769
-65.0,0.0,0.8,0.18919602068686409,0.0,0.8,0.4,0.0,0.7415384615384616,0.19216468966905453,0.0,0.7415384615384616,0.18461538461538463,0.0,0.0886355146765709,1.1748952865600586,0.07382512547075748,43.93024516105652
-65.0,0.0,1.0,0.22033541080028138,0.0,1.0,1.0,0.0,0.8769230769230769,0.19411988512603048,0.0,0.8769230769230769,0.3415384615384615,0.0,0.0647776372730732,1.1709461212158203,0.07540664203464985,43.81705904006958
-65.0,0.0,0.2,0.21245659291338265,0.0,0.2,0.0,0.0,0.11384615384615385,0.202660992669226,0.0,0.11384615384615385,0.0,0.0,0.07388598918914795,1.181060791015625,0.06420924479141832,43.82303810119629
-65.0,0.0,0.2,0.16900240621703977,0.0,0.2,0.2,0.0,0.26153846153846155,0.16762916362086935,0.0,0.26153846153846155,0.06153846153846154,0.0,0.07606117129325866,1.1707088947296143,0.06527607096359134,43.58340001106262
-65.0,0.0,0.2,0.18550494569703938,0.0,0.2,0.0,0.0,0.37538461538461537,0.1884947189853605,0.0,0.37538461538461537,0.0,0.0,0.07590706907212734,1.1707792282104492,0.06284981463104486,43.60288405418396
-65.0,0.0,0.8,0.1982080250145624,0.0,0.8,0.6,0.0,0.7353846153846154,0.19381168499880608,0.0,0.7353846153846154,0.27384615384615385,0.0,0.06638317704200744,1.1712450981140137,0.06242739852517843,43.65351104736328
-63.2,0.0,0.2,0.13114672954529125,0.0,0.2,0.8,0.0,0.5138461538461538,0.1631953701694767,0.012307692307692308,0.5138461538461538,0.5384615384615384,0.027692307692307693,0.07311893962323665,1.1698329448699951,0.062457500770688054,43.62875294685364
-61.4,0.4,0.8,0.1332260433711403,0.8,0.8,0.8,0.4,0.7446153846153846,0.18561298245726504,0.12307692307692308,0.7446153846153846,0.5507692307692308,0.055384615384615386,0.066928955540061,1.169788122177124,0.056555450148880484,43.588480949401855
-61.0,0.4,0.8,0.14086991965645576,0.4,0.8,0.8,0.4,0.7046153846153846,0.18834996661525075,0.12,0.7046153846153846,0.40307692307692305,0.06153846153846154,0.06778157502412796,1.1697890758514404,0.05473726361989975,43.57201409339905
-65.0,0.0,0.2,0.18176976210878606,0.2,0.2,0.4,0.0,0.26153846153846155,0.18886681830459418,0.052307692307692305,0.26153846153846155,0.3476923076923077,0.0,0.06921444199979306,1.1697039604187012,0.05287481155246496,43.58794713020325
-65.0,0.0,0.4,0.1985936108508246,0.2,0.4,0.4,0.0,0.7230769230769231,0.18676367782090425,0.024615384615384615,0.7230769230769231,0.26461538461538464,0.0,0.06952732726931572,1.1697978973388672,0.052093753330409526,43.60228896141052
-63.8,0.2,0.4,0.1812204063079365,0.2,0.4,0.6,0.2,0.39692307692307693,0.17856231228357983,0.018461538461538463,0.39692307692307693,0.26461538461538464,0.018461538461538463,0.06717666909098625,1.198193073272705,0.052384168170392514,43.658174991607666
-61.4,0.2,0.6,0.1281691475130045,0.2,0.6,0.4,0.2,0.5692307692307692,0.15902079705625724,0.08923076923076922,0.5692307692307692,0.39692307692307693,0.055384615384615386,0.07084341570734978,1.194183111190796,0.05073618100956082,44.110321283340454
-63.8,0.2,0.6,0.1984553421358765,0.2,0.6,0.4,0.2,0.5815384615384616,0.1958153546000315,0.043076923076923075,0.5815384615384616,0.4707692307692308,0.018461538461538463,0.07378588058054447,1.1700949668884277,0.052682933751493695,43.60048317909241
-52.8,0.8,0.8,0.07980460086275495,0.6,0.8,0.8,0.8,0.8461538461538461,0.14995995443134702,0.24307692307692308,0.8461538461538461,0.5138461538461538,0.18769230769230769,0.05944476537406444,1.170863151550293,0.05406143438071012,43.66124081611633
-65.0,0.0,0.8,0.18829733359979145,0.0,0.8,0.6,0.0,0.8338461538461538,0.190572585213352,0.0,0.8338461538461538,0.27384615384615385,0.0,0.06730274632573127,1.170060157775879,0.04900196060538292,43.650622844696045
-65.0,0.0,0.6,0.19684112460937903,0.0,0.6,0.6,0.0,0.563076923076923,0.18104040418558576,0.0,0.563076923076923,0.2923076923076923,0.0,0.056862879544496536,1.1701982021331787,0.05065893486142158,43.71988582611084
