Avg Returns,Success Rate,env-final-hand_object_aligned,env-final-obj_goal_distance,env-final-object_above_goal,env-final-object_grasped,env-final-picked_up,env-final-task_achieved,env-hand_object_aligned,env-obj_goal_distance,env-object_above_goal,env-object_grasped,env-picked_up,env-task_achieved,test-BC Loss,test-epoch_duration,train-BC Loss,train-epoch_duration
-65.0,0.0,0.0,0.20085833589485264,0.0,0.0,0.0,0.0,0.0,0.2008648338873195,0.0,0.0,0.0,0.0,0.20665276795625687,1.1669540405273438,0.23394966185092925,43.13677620887756
-65.0,0.0,0.4,0.25958173776134147,0.0,0.4,0.4,0.0,0.48615384615384616,0.22858920643639916,0.0,0.48615384615384616,0.19692307692307692,0.0,0.1355716221034527,1.1838021278381348,0.13506107404828072,43.147905111312866
-65.0,0.0,0.0,0.17025402561018277,0.0,0.0,0.0,0.0,0.3569230769230769,0.1803669332609497,0.0,0.3569230769230769,0.018461538461538463,0.0,0.10689238533377647,1.1723871231079102,0.08998483568429946,43.36185312271118
-65.0,0.0,0.4,0.2033919761147894,0.0,0.4,0.4,0.0,0.3507692307692308,0.20797391186000766,0.0,0.3507692307692308,0.1476923076923077,0.0,0.10069592893123627,1.1735498905181885,0.08133376281708479,43.495681047439575
-65.0,0.0,0.4,0.205068274570977,0.0,0.4,0.2,0.0,0.5476923076923077,0.18138082949691067,0.0,0.5476923076923077,0.027692307692307693,0.0,0.09794329777359963,1.1724112033843994,0.08161391507834197,43.496634006500244
-63.2,0.2,0.2,0.1549347262306647,0.2,0.2,0.4,0.2,0.36,0.17515312705208796,0.027692307692307693,0.36,0.19076923076923077,0.027692307692307693,0.09272067099809647,1.1719980239868164,0.07342224635183811,43.580211877822876
-65.0,0.0,0.4,0.18430573576946366,0.0,0.4,0.4,0.0,0.5938461538461538,0.18586310281458163,0.0,0.5938461538461538,0.13846153846153847,0.0,0.08088901564478874,1.1721961498260498,0.07246514476835728,43.56511211395264
-65.0,0.0,0.6,0.18834121486564404,0.2,0.6,0.6,0.0,0.556923076923077,0.20829509539598942,0.033846153846153845,0.556923076923077,0.35384615384615387,0.0,0.08811097219586372,1.1722171306610107,0.06743418660014867,43.56167984008789
-65.0,0.0,0.8,0.21740798931456745,0.0,0.8,0.4,0.0,0.803076923076923,0.2231200350354562,0.0,0.803076923076923,0.28923076923076924,0.0,0.08527457527816296,1.1722099781036377,0.06592279883101583,43.54491996765137
-65.0,0.0,0.0,0.15962878256076524,0.0,0.0,0.0,0.0,0.12,0.16654315140111645,0.0,0.12,0.0,0.0,0.09246777966618538,1.1732680797576904,0.06621263021603227,43.59257507324219
-62.4,0.4,0.4,0.14091188808355323,0.4,0.4,0.4,0.4,0.5753846153846154,0.17596789562879517,0.12307692307692308,0.5753846153846154,0.2553846153846154,0.04,0.0846807073801756,1.1726577281951904,0.06438235960900783,43.57236099243164
-65.0,0.0,0.6,0.19266977770726612,0.0,0.6,0.2,0.0,0.6184615384615385,0.19081071550058912,0.0,0.6184615384615385,0.12615384615384614,0.0,0.08226631507277489,1.1722047328948975,0.06552191596478224,43.56454277038574
-63.2,0.2,0.4,0.1773655551990725,0.2,0.4,0.6,0.2,0.42153846153846153,0.18589381138052144,0.052307692307692305,0.42153846153846153,0.18461538461538463,0.027692307692307693,0.08556865826249123,1.172429084777832,0.06069821512326598,43.58632802963257
-65.0,0.0,0.6,0.16495717811455698,0.0,0.6,0.8,0.0,0.556923076923077,0.19149598523527453,0.0,0.556923076923077,0.38769230769230767,0.0,0.08505237102508545,1.1723310947418213,0.05712703388184309,43.58050012588501
-60.2,0.4,0.6,0.10855832060173735,0.6,0.6,0.6,0.4,0.6369230769230769,0.15179959185343236,0.15692307692307692,0.6369230769230769,0.35384615384615387,0.07384615384615385,0.08867699131369591,1.1724209785461426,0.0630441615357995,43.58794903755188
-63.4,0.2,0.6,0.13284528576987745,0.4,0.6,1.0,0.2,0.56,0.17781502161404827,0.05846153846153846,0.56,0.5323076923076923,0.024615384615384615,0.09058308824896813,1.1787986755371094,0.05755060443654656,43.617114782333374
-62.4,0.2,1.0,0.16190261983339477,0.4,1.0,0.4,0.2,0.8338461538461538,0.19386536900580525,0.07692307692307693,0.8338461538461538,0.2676923076923077,0.04,0.08762092143297195,1.1792950630187988,0.05729186728596687,43.98414421081543
-60.8,0.6,0.8,0.10326910149954686,0.6,0.8,0.8,0.6,0.8184615384615385,0.1732782314163639,0.1076923076923077,0.8184615384615385,0.49230769230769234,0.06461538461538462,0.09454317204654217,1.193166732788086,0.05674682017415762,44.29550266265869
-58.6,0.4,0.2,0.14263972572557412,0.4,0.2,0.4,0.4,0.37846153846153846,0.17007260243634972,0.13846153846153847,0.37846153846153846,0.5046153846153846,0.09846153846153846,0.07887833081185817,1.1939270496368408,0.0536222280189395,44.308292865753174
-64.8,0.2,1.0,0.13231407416292182,0.4,1.0,0.6,0.2,0.8892307692307693,0.1852824008864487,0.03076923076923077,0.8892307692307693,0.3353846153846154,0.003076923076923077,0.0709056619554758,1.1915619373321533,0.054249321445822715,44.06942391395569
-65.0,0.0,0.4,0.20800399935745606,0.0,0.4,0.2,0.0,0.4461538461538462,0.18867121354992109,0.003076923076923077,0.4461538461538462,0.23692307692307693,0.0,0.08343622349202633,1.1883902549743652,0.055494905188679694,44.071475982666016
-65.0,0.0,0.8,0.19347701973662865,0.0,0.8,0.4,0.0,0.8646153846153846,0.1886653575584911,0.0,0.8646153846153846,0.3046153846153846,0.0,0.08295766934752465,1.1883060932159424,0.04957940760999918,44.035898208618164
-59.0,0.4,0.8,0.11414511607357827,0.8,0.8,1.0,0.4,0.7723076923076924,0.1589717218889036,0.24615384615384617,0.7723076923076924,0.6338461538461538,0.09230769230769231,0.08424770459532738,1.183650016784668,0.052013286352157594,44.03846287727356
-65.0,0.0,0.2,0.18946596743375474,0.0,0.2,0.2,0.0,0.32,0.19162500301222207,0.0,0.32,0.06769230769230769,0.0,0.08447889462113381,1.1856698989868164,0.05363223653286695,44.05905890464783
-61.6,0.4,0.6,0.12102864319427893,0.4,0.6,0.4,0.4,0.5907692307692308,0.15932497593248832,0.09538461538461539,0.5907692307692308,0.24615384615384617,0.052307692307692305,0.09995881989598274,1.1840109825134277,0.050593952648341656,44.085752725601196
